Имя файла обновлений;Дата обновления;Имя пакета;Описание пакета;Время загрузки пакета
Анализатор Безопасности;2022-09-16 02:43:00 ;Анализатор Безопасности Базы утилиты AVZ;Базы утилиты AVZ;2022-09-16 04:08:36 
Антивирусные базы;2022-09-16 02:43:00 ;Антивирусные базы Описание вирусов и других опасных программ (для версии 6.0 MP4 и более поздних версий);Описание вирусов и других опасных программ (для версии 6.0 MP4 и более поздних версий);2022-09-16 06:08:38 
Антивирусные базы (устаревшие версии);2022-09-16 02:43:00 ;Антивирусные базы Описание вирусов и других опасных программ (для версии 6.0 MP4 и более поздних версий) (устаревшие версии);Описание вирусов и других опасных программ (для версии 6.0 MP4 и более поздних версий) (устаревшие версии);2022-09-16 06:01:33 
Базы Анализа поведения;2022-09-16 02:43:00 ;Базы Анализа поведения Данные для модуля эвристического анализа угроз;Данные для модуля эвристического анализа угроз;2022-09-16 06:01:29 
Базы Анализа поведения;2022-09-16 02:43:00 ;Базы Анализа поведения Описания опасных и подозрительных видов активности;Описания опасных и подозрительных видов активности;2022-09-15 11:35:20 
Базы Анти-Баннера;2022-09-12 11:19:00 ;Базы Анти-Баннера Маски веб-адресов для компонента Анти-Баннер;Маски веб-адресов для компонента Анти-Баннер;2022-09-12 14:15:05 
Базы Анти-Баннера;2022-09-16 02:43:00 ;Базы Анти-Баннера Маски веб-адресов для компонента Анти-Баннер (для версии 6.0 MP4 и более поздних версий);Маски веб-адресов для компонента Анти-Баннер (для версии 6.0 MP4 и более поздних версий);2022-09-16 04:08:31 
Базы Анти-Фишинга;2022-09-16 04:01:00 ;Базы Анти-Фишинга Адреса сайтов, используемых для электронного мошенничества (для версии 6.0 MP4 и более поздних версий);Адреса сайтов, используемых для электронного мошенничества (для версии 6.0 MP4 и более поздних версий);2022-09-16 06:08:33 
Базы Веб-Контроля;2022-09-16 02:43:00 ;Базы Веб-Контроля Базы для потоковой проверки (для версии 6.0 MP4 и более поздних версий);Базы для потоковой проверки (для версии 6.0 MP4 и более поздних версий);2022-09-16 04:08:38 
Базы вредоносных и фишинговых веб-адресов;2022-09-16 04:01:00 ;Базы вредоносных и фишинговых веб-адресов Список вредоносных и фишинговых веб-адресов;Список вредоносных и фишинговых веб-адресов;2022-09-16 06:08:39 
Базы поиска руткитов;2022-09-16 02:43:00 ;Базы поиска руткитов Данные для модуля обнаружения руткитов;Данные для модуля обнаружения руткитов;2022-09-16 00:15:09 
Базы сетевого экрана;2022-09-16 02:43:00 ;Базы сетевого экрана Описание типичных сетевых атак;Описание типичных сетевых атак;2022-09-16 04:08:31 
Базы фишинговых веб-адресов;2022-09-16 02:43:00 ;Базы фишинговых веб-адресов Обновления баз фишинговых веб-адресов;Обновления баз фишинговых веб-адресов;2022-09-16 04:08:38 
Защита от эксплойтов;2022-09-16 02:43:00 ;Защита от эксплойтов Обновления для Защиты от эксплойтов;Обновления для Защиты от эксплойтов;2022-09-16 04:08:38 
Модуль разрешения DNS-адресов;2012-11-15 13:04:00 ;Модуль разрешения DNS-адресов Обновления для модуля для безопасного разрешения доменных адресов;Обновления для модуля для безопасного разрешения доменных адресов;2022-08-16 12:00:11 
Патчи для Kaspersky Security Center 13;2022-09-15 12:08:00 ;Патчи для Сервера администрирования и Агента администрирования;Патчи для Kaspersky Security Center 13;2022-08-16 12:10:02 
Поиск уязвимостей;2022-09-08 14:04:00 ;Поиск уязвимостей Обновления для Поиска уязвимостей;Обновления для Поиска уязвимостей;2022-09-08 16:09:47 
Поиск уязвимостей;2022-09-13 19:54:00 ;Поиск уязвимостей Обновления для задачи Поиска уязвимостей программы Kaspersky Security Center 13 (Сервер администрирования и Агент администрирования);Обновления для задачи Поиска уязвимостей программы Kaspersky Security Center 13 (Сервер администрирования и Агент администрирования);2022-09-13 22:01:03 
Предотвращение вторжений;2022-09-16 02:43:00 ;Предотвращение вторжений Обновления для Предотвращения вторжений;Обновления для Предотвращения вторжений;2022-09-16 02:08:34 
Проверка объектов автозапуска и лечение активных заражений;2022-09-16 02:43:00 ;Проверка объектов автозапуска и лечение активных заражений Обновления, необходимые для проверки объектов автозапуска и лечения активных заражений;Обновления, необходимые для проверки объектов автозапуска и лечения активных заражений;2022-08-16 12:47:20 
Программные модули;2022-09-15 12:08:00 ;Программные модули Kaspersky Endpoint Security 10 для Windows;Kaspersky Endpoint Security 10 для Windows;2022-08-16 11:44:57 
Программные модули;2022-09-15 12:08:00 ;Программные модули Kaspersky Endpoint Security 8 для Windows: обновления программных модулей;Kaspersky Endpoint Security 8 для Windows: обновления программных модулей;2022-08-16 11:44:56 
Система быстрого обнаружения угроз;2022-09-16 02:43:00 ;Система быстрого обнаружения угроз Обновления для Системы быстрого обнаружения угроз;Обновления для Системы быстрого обнаружения угроз;2022-08-16 12:47:56 
Сканер объектов автозапуска;2022-09-16 02:43:00 ;Сканер объектов автозапуска Обновления для сканера объектов автозапуска, использующего антируткит-технологии;Обновления для сканера объектов автозапуска, использующего антируткит-технологии;2022-09-16 00:15:14 
Служба KSN;2022-09-16 02:43:00 ;Служба KSN Обновления для KSN;Обновления для KSN;2022-09-15 16:08:20 
